,band,count,flag
40946,岩瀬敬吾 with サンノヘシゲカズ,1.0,
40947,ABDNB,1.0,
40948,tHe Dove,1.0,
40949,ブルースビンボーズ,1.0,
40950,Noise Casper,1.0,
40951,延期公演でも使用するため無くさないでください。...,1.0,
40952,THE 69 YOBSTERS,1.0,
40953,ＡＳ ＭＥＩＡＳ,1.0,
40954,marble cloud,1.0,
40955,競馬に興味のある人集まれ！,1.0,
40956,jazz sapiens,1.0,
40957,サンスポアイドルリポーター,1.0,
40958,Amsterdam Faya Allstars,1.0,
40959,KEITA KOJIMA,1.0,
40960,天野ジョージ他,1.0,
40961,ゆめのまち,1.0,
40962,Adelhide,1.0,
40963,CAT'S☆EYE,1.0,
40964,アルゴリズム体操,1.0,
40965,THE RADIO NINE,1.0,
40966,Z the BAND,1.0,
40967,Cake by Sound Shoez,1.0,
40968,関口大丘,1.0,
40969,THE他力本願ズ,1.0,
40970,DSK Kojima,1.0,
40971,Chaa Chee,1.0,
40972,The sklimotion,1.0,
40973,frenzy party,1.0,
40974,34 Ruins at Mohenjo-Daro,1.0,
40975,ユダ倶楽部,1.0,
40976,easy coil,1.0,
40977,エノモトミユキ,1.0,
40978,wonder moon,1.0,
40979,Ciel-Spirit,1.0,
40980,劇団GuReM♂♀N,1.0,
40981,藤原ツルギ,1.0,
40982,青空喫茶,1.0,
40983,WOTZIT,1.0,
40984,IMIKA,1.0,
40985,Android Beach Party,1.0,
40986,Cheerful MonsterS,1.0,
40987,ドクターポリエステルハカセLEMONｓ月傘メロディ,1.0,
40988,the Notorious,1.0,
40989,YELLOW STUDS,1.0,
40990,Groove at a Stroke,1.0,
40991,ヘポタイヤ[南波政人,1.0,
40992,のざみさんバンド,1.0,
40993,DRINK,1.0,
40994,cryff in the bedroom,1.0,
40995,ライブはした事あるけどもっとレベルアップがしたい,1.0,
40996,sum in the sky,1.0,
40997,エリザベスエイト,1.0,
40998,※入場者特典※,1.0,
40999,SHINTA-LOW,1.0,
41000,GalapagoS,1.0,
41001,Cafe stage,1.0,
41002,PoP Campaign,1.0,
41003,SLY,1.0,
41004,弾き語りの竹澤汀とはすこし違った,1.0,
41005,中上武史,1.0,
41006,Drop's                    爆弾ジョニー                    赤い猫,1.0,
41007,THE GAMITS,1.0,
41008,77024,1.0,
41009,ペリー,1.0,
41010,里花,1.0,
41011,久住昌之&BlueHip × フーレンズ,1.0,
41012,SLAVE,1.0,
41013,※ゲスト清水宏,1.0,
41014,Cover`s DOLL,1.0,
41015,新田正継,1.0,
41016,GoofyStance,1.0,
41017,78332,1.0,
41018,恋の赤ペン先生,1.0,
41019,予定通り開催させていただきます。,1.0,
41020,AddictionwheellzjoyDroog,1.0,
41021,REEV CREEV,1.0,
41022,二枚舌,1.0,
41023,verse of violet,1.0,
41024,71627,1.0,
41025,EASEL,1.0,
41026,・沢田チャレンジがあなたに愛の名言を！,1.0,
41027,マモル＆ザ デイビス,1.0,
41028,エマーソン北村＋松竹谷清,1.0,
41029,三輪二郎＆マザーコンプレックス,1.0,
41030,Neutral,1.0,
41031,「赤...,1.0,
41032,clumibon,1.0,
41033,サンダウンヴィレッジバンド,1.0,
41034,バータイムDJ,1.0,
41035,早坂美咲・朝比奈恋,1.0,
41036,男子50人,1.0,
41037,春歌],1.0,
41038,KISM,1.0,
41039,リキッドライト,1.0,
41040,モアドモア,1.0,
41041,Gorgeous Ｂathroom,1.0,
41042,O.A ふらり,1.0,
41043,The Idols,1.0,
41044,The Nostradamnz,1.0,
41045,地味メタボリX,1.0,
41046,OUTASIGHT,1.0,
41047,南雲健太,1.0,
41048,CHERRYNADE169,1.0,
41049,■TICKET,1.0,
41050,DJ Tanuki BLD.,1.0,
41051,平井慶祐 PHOTO BAND AID,1.0,
41052,Frognotes,1.0,
41053,the_k,1.0,
41054,無料おつまみあり,1.0,
41055,渡邊隆章,1.0,
41056,なおきちとふくちゃん,1.0,
41057,N.G.F.S.,1.0,
41058,無性BOYZ,1.0,
41059,Tabascobra,1.0,
41060,squeeze4,1.0,
41061,madads,1.0,
41062,〔ニコちゃん〕,1.0,
41063,ハピプロ4th Anniversary!!,1.0,
41064,「テンションパーマ」は次点となり,1.0,
41065,SNAIL RAMP                    SLIMEBALL                    maegashira,1.0,
41066,JUNIEL　ワンマンライブ,1.0,
41067,TRIOSIK.,1.0,
41068,LOA + VJ,1.0,
41069,clock workboo,1.0,
41070,SPEC,1.0,
41071,リオ,1.0,
41072,悪魔のベイベー,1.0,
41073,寺田燿児と幽霊楽団,1.0,
41074,マヒトゥー・ザ・ピーポー,1.0,
41075,モノクロミライ,1.0,
41076,キーマカレー『まちゃ』,1.0,
41077,ｳﾞｧﾝﾊﾟｲｱ★Kiss,1.0,
41078,青い閑閑,1.0,
41079,The Plaiders,1.0,
41080,Ryusei Yamato,1.0,
41081,b...,1.0,
41082,柴田智明,1.0,
41083,AKARICENTER,1.0,
41084,ねこどろっぷ,1.0,
41085,FUMIKAZU KORAI,1.0,
41086,THE BEG,1.0,
41087,永田ジョージ,1.0,
41088,marta,1.0,
41089,HAIKUS,1.0,
41090,LIQUIDDESIGNS,1.0,
41091,アトリエ・ヒッピー,1.0,
41092,妄想ストライプス,1.0,
41093,"eugene,diego&nahayash",1.0,
41094,Kareha,1.0,
41095,ももこどーん,1.0,
41096,2「待ち合わせ」開催！,1.0,
41097,VAKKYA JENNCO,1.0,
41098,TSUBASA,1.0,
41099,グッドーモーニングアメリカ,1.0,
41100,Beatmoss,1.0,
41101,Black Cat's Tail,1.0,
41102,O.A 白波多カミン,1.0,
41103,鶴 恵介,1.0,
41104,club Que,1.0,
41105,77108,1.0,
41106,本天沼クレイジーマウンテン,1.0,
41107,COJIE from MIGHTY CROWN,1.0,
41108,ご確認くださいませ。,1.0,
41109,GABA × jan × StunSmith,1.0,
41110,恐怖新聞社,1.0,
41111,DJアバカム,1.0,
41112,バーレスクダンス,1.0,
41113,DRY & HEAVY,1.0,
41114,JUNYA MORITA,1.0,
41115,UNR,1.0,
41116,＆ surprise guests…,1.0,
41117,魔太郎,1.0,
41118,JUSTICE　OF CANADA,1.0,
41119,HOT SHOT,1.0,
41120,Arise In Stability,1.0,
41121,久下淳史,1.0,
41122,可鈴山京子,1.0,
41123,清水宏,1.0,
41124,U1,1.0,
41125,はっしん・fake-fantasy.・オチアイレイ,1.0,
41126,ZOMBIE JAPAN,1.0,
41127,The 1st sunday,1.0,
41128,LIGHTING,1.0,
41129,QUANG DUC ASYLUM,1.0,
41130,LAST ALLIANCE TRIBAL CHAIRknotlamp,1.0,
41131,SOLD,1.0,
41132,Venus's shout,1.0,
41133,73277,1.0,
41134,＋ Secret Band !,1.0,
41135,［LIVE] The fin.,1.0,
41136,DOWN THE RABBIT HOLE,1.0,
41137,明智半平太,1.0,
41138,Per. 富村turbo唯,1.0,
41139,下記の日程で対応させて頂き...,1.0,
41140,わたる工房,1.0,
41141,The CHEVY,1.0,
41142,BETHCOUPES,1.0,
41143,THE SALTY DOGS,1.0,
41144,Albert Martin 3rd,1.0,
41145,タレナガシ,1.0,
41146,今回のテーマは「10年代のRAP」。,1.0,
41147,Black Water,1.0,
41148,満杯の新宿ロフトにて３マンライブが出来るほどに成長を感じられる４組に...,1.0,
41149,GOODBYEAPRIL,1.0,
41150,HALL OF GLASS,1.0,
41151,JUANTXO SKALARI feat. TEX & SUN FLOWER SEED,1.0,
41152,79684,1.0,
41153,大河元気,1.0,
41154,shotgun mariage,1.0,
41155,Horita Kouki,1.0,
41156,three six,1.0,
41157,水村浩司},1.0,
41158,The SKa Flames,1.0,
41159,奥野真哉,1.0,
41160,枝番,1.0,
41161,［LIVE］Nabowa,1.0,
41162,坊っちゃん,1.0,
41163,スベリー・マーキュリー,1.0,
41164,gengah.,1.0,
41165,河野陽吾,1.0,
41166,The Melancholy　 ゲスト,1.0,
41167,Freedom Train,1.0,
41168,www.55mth.com,1.0,
41169,Ang...,1.0,
41170,WELCOME TOXICITY,1.0,
41171,峰岸佳,1.0,
41172,荒井良二と連絡船,1.0,
41173,you,1.0,
41174,EVENDAYS WEEKEND,1.0,
41175,Yawning,1.0,
41176,DEETII & meistermeisterイワサキトモヤノルマンディギャングバンド,1.0,
41177,haruka nakamura×齊藤功×ARAKI Shin,1.0,
41178,DirtCopy,1.0,
41179,Empty page,1.0,
41180,michitomo,1.0,
41181,lost in my vein,1.0,
41182,名もなき演奏者 他,1.0,
41183,REDЯUM,1.0,
41184,"live guest INCAPACITANTS,",1.0,
41185,Unfit Cooder,1.0,
41186,☆新谷仁和a.k.a J,1.0,
41187,ピロウズコピーバンド,1.0,
41188,将伍,1.0,
41189,みーな,1.0,
41190,ジョブズプロジェクト,1.0,
41191,オープニングアクト Tall Tall Trees（from USA),1.0,
41192,ぐちゃぐちゃズ,1.0,
41193,木村順子,1.0,
41194,SUNSET BEACH,1.0,
41195,Yukari BB,1.0,
41196,堀澤”DON”元バンド,1.0,
41197,1022,1.0,
41198,Perma,1.0,
41199,Not It? Yeah!,1.0,
41200,ぴか☆,1.0,
41201,山形敦子,1.0,
41202,MJM,1.0,
41203,Rok Da House  *VJ,1.0,
41204,Dlstorted VEins,1.0,
41205,NAP3 back dady h,1.0,
41206,PIKA × 勝井祐二 × 大友良英,1.0,
41207,petie ange,1.0,
41208,昔青山にいた人,1.0,
41209,Radrays,1.0,
41210,protect,1.0,
41211,《内容》 ライブ音源CD-R at FUJI ROCK 苗場食堂 2013.7.28,1.0,
41212,akeynote,1.0,
41213,池上バンド,1.0,
41214,moegi,1.0,
41215,the canadian club,1.0,
41216,黒蜥蜴KURO+KAGE,1.0,
41217,JAil guitar doors,1.0,
41218,大麻,1.0,
41219,弾き語りのアーティスト募集中！,1.0,
41220,渋谷毅オーケストラ{渋谷 毅峰厚介},1.0,
41221,CLUB LINER,1.0,
41222,いそさん,1.0,
41223,Beee地区,1.0,
41224,鶴谷智生 drums,1.0,
41225,ゴーギャン,1.0,
41226,他Front act,1.0,
41227,OPEN  18,1.0,
41228,おにんこ!,1.0,
41229,The same intention crew,1.0,
41230,■kevin,1.0,
41231,岩淵弘樹,1.0,
41232,SUMMER SOLSTICE 10th Anniversary Best Album 「りんご盤」Tour,1.0,
41233,永山 夏希,1.0,
41234,佐々木泰雅,1.0,
41235,LAUGHIN'NOSE vs THE STAR CLUB,1.0,
41236,関谷真奈美,1.0,
41237,Liar,1.0,
41238,えりな・sakura・yanagii・rinrin・上野築・,1.0,
41239,IRIEEEEE,1.0,
41240,木部文美,1.0,
41241,星海愛,1.0,
41242,LissE,1.0,
41243,きのこくりーむぱん,1.0,
41244,キッキィ,1.0,
41245,KATEI,1.0,
41246,フラトラ,1.0,
41247,DOORS,1.0,
41248,Gulliver,1.0,
41249,監督,1.0,
41250,DGMAS,1.0,
41251,今月から月に一度幅広い層のミュージシャンをお招きしてセッションを始めます！,1.0,
41252,Dead Frowerz,1.0,
41253,平野暁子,1.0,
41254,78853,1.0,
41255,αkkii,1.0,
41256,田中 亮祐,1.0,
41257,nori,1.0,
41258,西川口少女隊,1.0,
41259,JACKBEATS,1.0,
41260,三人サードクラス,1.0,
41261,早稲田大学ロッククライミング,1.0,
41262,Amelia Baby,1.0,
41263,SABBATH,1.0,
41264,THE JFK,1.0,
41265,Ba.ノッヒー,1.0,
41266,one small step,1.0,
41267,瑛利子,1.0,
41268,SEETHELIGHTS,1.0,
41269,70627,1.0,
41270,Practical Lovers,1.0,
41271,GSおじさん,1.0,
41272,高校生の一生を変えるかもしれません。,1.0,
41273,田中景子viola,1.0,
41274,k1.fc2.com,1.0,
41275,チリトマト,1.0,
41276,we are time + セノオGEE,1.0,
41277,布佐良幸,1.0,
41278,GOLD SHIP,1.0,
41279,Mustang Jerx,1.0,
41280,MEGALOCKMANIA,1.0,
41281,Darlin'on Stage,1.0,
41282,現在のオレにとって　とてつもなくクダ...,1.0,
41283,M.A.S.F.,1.0,
41284,趣味以上仕事未満ながら圧倒的知識量と実践にてバンドマンからの信頼も厚い,1.0,
41285,26下北沢SHELTER 昼12；00から！！！,1.0,
41286,ロブ・キドニー,1.0,
41287,ハンダゴテ職人ＰＡ長沢,1.0,
41288,BOSSSTON　CRUIZING　MANIA,1.0,
41289,ベリーダンスとインディアン,1.0,
41290,ニモモンチー,1.0,
41291,PAPRICA,1.0,
41292,201497threealbum.html,1.0,
41293,バンドマン漫画談義,1.0,
41294,主催者様,1.0,
41295,YOKKE,1.0,
41296,Pot-pourri,1.0,
41297,上智大学系音楽堂公開,1.0,
41298,ＫＤＣ,1.0,
41299,STUDS & NANCY,1.0,
41300,アクサンテギュー,1.0,
41301,Giles Smith,1.0,
41302,ROOTSOUL from JazzFunkSET!,1.0,
41303,RiGerU,1.0,
41304,ゆうべのおたのしみ,1.0,
41305,SHITARABA VS HASEGAWA4200,1.0,
41306,山下JEUDI,1.0,
41307,天海るか,1.0,
41308,O.A サミツミサ,1.0,
41309,※ステージとフロアの2ステージ制※プラハデパートは前編,1.0,
41310,ちびまつ,1.0,
41311,C.MIYA a.k.a カルロス宮本,1.0,
41312,永井朋弥,1.0,
41313,住田　諒,1.0,
41314,HELL RACER,1.0,
41315,Bullets of quartz 902,1.0,
41316,ArisA with 佐藤公哉,1.0,
41317,R40,1.0,
41318,LEAVES NO ASH,1.0,
41319,SaLi,1.0,
41320,cactus flower,1.0,
41321,Drunk！,1.0,
41322,Tatsu,1.0,
41323,ELNAND MORELETTA,1.0,
41324,イニーミニーマニーモ-,1.0,
41325,菅 千鶴,1.0,
41326,chicchi,1.0,
41327,神奈川事変,1.0,
41328,adv.\400  door.\600,1.0,
41329,8モン,1.0,
41330,■SECRETGUEST ？,1.0,
41331,福井伸実,1.0,
41332,ステージにドラム3台を並べてガチンコバトル！,1.0,
41333,柳田絵美花,1.0,
41334,閃光リトミック,1.0,
41335,topha,1.0,
41336,Twilight Battleship,1.0,
41337,GOET EATS POEM,1.0,
41338,菱谷ビッツ昌弘,1.0,
41339,Ametsub  VJ,1.0,
41340,rules.html,1.0,
41341,halspirits,1.0,
41342,n_o.b_o feat. alisa,1.0,
41343,Captain Sentimental feat,1.0,
41344,片山勇,1.0,
41345,NO LEAF CLOVER,1.0,
41346,2010年5月14日,1.0,
41347,Music Again Vol.14,1.0,
41348,渋谷LUSH&HOME Crew,1.0,
41349,with 仙石彬人  AKITO SENGOKU,1.0,
41350,OVA,1.0,
41351,PooRush,1.0,
41352,Kplekraft,1.0,
41353,OA.マツオカ,1.0,
41354,特別ゲスト・大森靖子,1.0,
41355,DRAMATICBOYS,1.0,
41356,いおぎりんちゃんずセッション,1.0,
41357,THE WONDER TONES,1.0,
41358,ハハハ八王子,1.0,
41359,clockworkUPDATE,1.0,
41360,Motor 9,1.0,
41361,赤間一仁,1.0,
41362,まつもと かなみ,1.0,
41363,Moon Night,1.0,
41364,The home alone,1.0,
41365,BLESSTHEFALL,1.0,
41366,TRACES OF YOU,1.0,
41367,FAMILIA Crew & THREE Crew & You !,1.0,
41368,みさとのごはん屋,1.0,
41369,Gacharic Spin×アップアップガールズ,1.0,
41370,アポロジック,1.0,
41371,ぱらぱら散歩道,1.0,
41372,豊満乃風,1.0,
41373,鴬谷デッドボールオールスターズ,1.0,
41374,HIGURASHI RECORDS.INC,1.0,
41375,COOLERKING McQUEEN,1.0,
41376,DJ BOSS,1.0,
41377,Plot,1.0,
41378,じゅりちゃん,1.0,
41379,Thank you Sold out !!,1.0,
41380,ムジナ,1.0,
41381,よねっち,1.0,
41382,NONAMECREW,1.0,
41383,bloodthirsty butchers作品のみフロアにて再生しております。,1.0,
41384,KAMIKAZE ATTACK,1.0,
41385,■GiGi,1.0,
41386,Overflow,1.0,
41387,JOTA,1.0,
41388,川口純平,1.0,
41389,The Horrows,1.0,
41390,VJ mitchel,1.0,
41391,人間椅子と戸川純,1.0,
41392,Honey Maple,1.0,
41393,the prisoner,1.0,
41394,West Side Boys,1.0,
41395,高木組のりんず,1.0,
41396,xTRiPx,1.0,
41397,右近健一一人芝居with his BAND,1.0,
41398,77538,1.0,
41399,"The New Housedeepsea drive machineyour gold, my pink",1.0,
41400,大森元気],1.0,
41401,THE DEER TRACKS,1.0,
41402,Bubble No7,1.0,
41403,junanasta,1.0,
41404,ペデストリアンズ,1.0,
41405,75965,1.0,
41406,GYOGUN REND'S,1.0,
41407,木田 将,1.0,
41408,RIOW ARAI + DJ DUCT,1.0,
41409,LUG謙心建設,1.0,
41410,theマニラ帰り,1.0,
41411,稀音家一郎,1.0,
41412,DE DE MOUSE の『デデ分』,1.0,
41413,PADLOCK,1.0,
41414,斉藤 花 feat. Yasunori Mochizuki,1.0,
41415,told × UHNELLYS,1.0,
41416,第一弾発表,1.0,
41417,friends,1.0,
41418,KEMURI 20th Anniversary Japan Tour “SKA BRAVO”,1.0,
41419,洲崎綾,1.0,
41420,ViVe,1.0,
41421,３８５ ×　cocobat,1.0,
41422,尻＆鞠,1.0,
41423,Opening guest,1.0,
41424,57picturs,1.0,
41425,［ACT］ベントラーカオル,1.0,
41426,スペシャオ餃子BAND,1.0,
41427,ACRI,1.0,
41428,Actless,1.0,
41429,RiskyPole,1.0,
41430,アンテナガール,1.0,
41431,10日後ティータイム,1.0,
41432,Staff,1.0,
41433,坂田有希バンド,1.0,
41434,www.genkidow.info,1.0,
41435,DONUT REAL ELEPHANT,1.0,
41436,れんちゃんとりんねちゃん,1.0,
41437,宮上 ゆみ,1.0,
41438,ギリギリドラゴン,1.0,
41439,瀧見憲司,1.0,
41440,Lucille,1.0,
41441,THE  PINBALLS,1.0,
41442,ニーハオありちゃん,1.0,
41443,Palm,1.0,
41444,MAYO,1.0,
41445,THE☆N☆PAN,1.0,
41446,Tico,1.0,
41447,DEEP LIVE HOUSE TOUR 2015 “Love Light”,1.0,
41448,The HOTELS,1.0,
41449,アレクサンダーひづめ,1.0,
41450,Tasha,1.0,
41451,盟友LOST IN TIMEと珍友ウラニーノを迎え,1.0,
41452,Ena Fujita,1.0,
41453,Flutter Echo,1.0,
41454,Dots dash,1.0,
41455,EG.鈴木茂,1.0,
41456,藤野恵美,1.0,
41457,Mintest,1.0,
41458,THE WONDEFUL WORLD,1.0,
41459,77259,1.0,
41460,TDC,1.0,
41461,BRIAN TURKEY ROAD,1.0,
41462,RIGHTNING549Lコード,1.0,
41463,＊諸事情により延期となりました。,1.0,
41464,Kornzmusic lesson.netの生徒さんを中心に14組のバンドやプレーヤーが,1.0,
41465,わたなべりんたろう,1.0,
41466,THE GECKOUS,1.0,
41467,高橋まり子,1.0,
41468,visyaaa,1.0,
41469,st3,1.0,
41470,「LOFT POWER PUSH!!2013」とPRIMAL CURVEとの共催企画として,1.0,
41471,leon,1.0,
41472,ぐらっコロＮ,1.0,
41473,いましばらくお待ち下さい※,1.0,
41474,REBEL BOYS,1.0,
41475,Fukin'まゆゆん'Breed,1.0,
41476,Prism,1.0,
41477,<DJ〉 moscow_mule_djs,1.0,
41478,coast of the SUISEN,1.0,
41479,オープニングアクト,1.0,
41480,詳細はこちらをご覧ください。,1.0,
41481,EX　SHOW　2016,1.0,
41482,Decoration,1.0,
41483,Gapper,1.0,
41484,テクマ !,1.0,
41485,オロナミンC,1.0,
41486,SMS×SKA,1.0,
41487,SHEMONS,1.0,
41488,Astral Rain,1.0,
41489,Low-Altitude Fight,1.0,
41490,The Tic Tac,1.0,
41491,The Cluracan,1.0,
41492,「自習vol.4」　のみ,1.0,
41493,TiNBa,1.0,
41494,Flying over the sky,1.0,
41495,LOCAL SOUND STYLEGLORY HILLOCEANLANE,1.0,
41496,SilberStyle,1.0,
41497,シャンソンシゲ...,1.0,
41498,青葉市子 ~第弐夜~,1.0,
41499,BAND STAGE,1.0,
41500,「Red Spice Stage」,1.0,
41501,DJ;ヒサシ the KID,1.0,
41502,オープニングアクトはLampが主宰するレーベルBotanical ...,1.0,
41503,ACTORS,1.0,
41504,SHUNSKEナンバー Friend Like Me,1.0,
41505,col croup,1.0,
41506,磁石,1.0,
41507,マツタケワークス,1.0,
41508,WHAT’S THAT MEAN？,1.0,
41509,NONCHELEEEE,1.0,
41510,八王子MATCH VOX　TEL,1.0,
41511,織夢,1.0,
41512,Azuki Caramel,1.0,
41513,Rollo,1.0,
41514,The Public Underground,1.0,
41515,hy4_4yh＆DJ ギュウゾウ,1.0,
41516,高地広明,1.0,
41517,BAR STAGE,1.0,
41518,宝石,1.0,
41519,Napoliran smith,1.0,
41520,春日義光,1.0,
41521,Cotton♡Candy,1.0,
41522,桐野安生,1.0,
41523,HASEGAWA4200,1.0,
41524,今野英明&walking rhythm,1.0,
41525,MARTIN-KINOO,1.0,
41526,※シークレットゲストあり,1.0,
41527,Mr'M,1.0,
41528,池田綾子 ■ SPACE MARKET,1.0,
41529,PUNKROCKBOX,1.0,
41530,有東レイ,1.0,
41531,ライトフライト,1.0,
41532,COZY,1.0,
41533,※50リットル限定入荷予定のピルスナーウルケル樽生が30リットルの入荷になってしまいました。余裕をもって発注しておりますが,1.0,
41534,Cigarette Fume,1.0,
41535,1157,1.0,
41536,山元彩,1.0,
41537,JIDORI,1.0,
41538,LABOR GROOVE,1.0,
41539,trikFkttr,1.0,
41540,ドンコル,1.0,
41541,アシタカラ―,1.0,
41542,ケ・セラ・セラ,1.0,
41543,THERE FOR TOMORROW,1.0,
41544,Dead Loss Loki,1.0,
41545,水森由菜withつるぴかりん,1.0,
41546,間地まどか ワンマンライブ,1.0,
41547,EGOIST TAXI,1.0,
41548,hotte × quartet Nico,1.0,
41549,Furphie Amplifier,1.0,
41550,Rattlehead,1.0,
41551,acid boys cherry,1.0,
41552,スクリーン,1.0,
41553,ＭＥＧＶＩＮＺ,1.0,
41554,田村昭太,1.0,
41555,Cover Age,1.0,
41556,ジェットビート,1.0,
41557,浦朋恵＆ザ・ロッキン・バリトーンズ,1.0,
41558,The Selectionz,1.0,
41559,THEYMADEDOIT,1.0,
41560,SOUND CRUES,1.0,
41561,WHERE’S ANDY,1.0,
41562,タタナダタ,1.0,
41563,フロアコントロールアテンダント DJ 4,1.0,
41564,桃奈ひさこ,1.0,
41565,ブルドックマン？,1.0,
41566,渡辺僚啓,1.0,
41567,PINK FUSE,1.0,
41568,mushlee,1.0,
41569,伊原anikki 広志   key,1.0,
41570,Hermann.H&The; Pacemakers,1.0,
41571,ゆあきといGuest,1.0,
41572,中西圭三,1.0,
41573,WE WANT WINE,1.0,
41574,ClosSlash,1.0,
41575,ゴンザレスキングスリン,1.0,
41576,ERA STAFF,1.0,
41577,20〜,1.0,
41578,Summer Of Death,1.0,
41579,DJ&MC,1.0,
41580,あずきふらわあ,1.0,
41581,JK21,1.0,
41582,WRIKUTA,1.0,
41583,サボリナ,1.0,
41584,トーク有,1.0,
41585,タピ☆オカ,1.0,
41586,ロ字ック,1.0,
41587,山口健,1.0,
41588,Birds melt sky,1.0,
41589,山本尚美,1.0,
41590,Ｔ・Ｇ・Ｓ実行委員会,1.0,
41591,O.A わたしのねがいごと。,1.0,
41592,山川冬樹×ヨシダダイキチ×川村亘平斎,1.0,
41593,・車田淳二,1.0,
41594,INCIDENTS!,1.0,
41595,忘却コード,1.0,
41596,Taiko super kicks,1.0,
41597,world’s end girlfriend,1.0,
41598,ハラダ カズヒロ,1.0,
41599,18に発生した東北地方太平洋沖地震の影響のため,1.0,
41600,yozuca*,1.0,
41601,今年は呼ばれなかった！と苦言を述べてくるミュージシャンもいるかも知れない。誰も反省しに来ない場合は,1.0,
41602,関伊佐央,1.0,
41603,トマソンズ,1.0,
41604,NICKEL PERSON,1.0,
41605,Mar-T,1.0,
41606,omukaedegonsu,1.0,
41607,14@八王子MatchBoxでのライブですが,1.0,
41608,開演時間が19,1.0,
41609,6eyes,1.0,
41610,coffeeshop gypseed,1.0,
41611,SUNRISE GARDEN,1.0,
41612,うどん 花は咲く,1.0,
41613,Baron & Jordonwild DJ,1.0,
41614,DRAW INTO DISORDER,1.0,
41615,北村エレン,1.0,
41616,CHARLES COHEN,1.0,
41617,粉と焼き場は用意しますので来場される方は一品「具」を持参ください。,1.0,
41618,FOOOOOD,1.0,
41619,"Coil (鬼怒無月g,中山努key,早川岳晴b,田中栄二ds）",1.0,
41620,めぐみ13号,1.0,
41621,坂口恭平,1.0,
41622,143-973,1.0,
41623,00LOFT受付にて。,1.0,
41624,振付師　DEN様,1.0,
41625,FANCASTIC★JAM,1.0,
41626,日本「はじめての日本」関東ツアー初日,1.0,
41627,loretta,1.0,
41628,こけし,1.0,
41629,CRAZY BOMBER BABIES,1.0,
41630,井倉真治,1.0,
41631,Mo Roc Onion,1.0,
41632,桃江メロン    解説,1.0,
41633,soul-kitchen,1.0,
41634,音楽ファンの皆様,1.0,
41635,あぐねる。,1.0,
41636,神谷尚,1.0,
41637,The KOXX,1.0,
41638,※石巻の食,1.0,
41639,参加者随時募集中!!,1.0,
41640,村越エースケ,1.0,
41641,KTZ,1.0,
41642,Hisao Kawada,1.0,
41643,78269,1.0,
41644,ANOTHER STORY,1.0,
41645,土屋公平withJAH-RAH,1.0,
41646,B-BANDJ,1.0,
41647,三杉金八 の4名で構成された新ユニットのロックバンドです。,1.0,
41648,Two Lead,1.0,
41649,carnivalofdarkspl.orbs.com,1.0,
41650,司会まえはまだ,1.0,
41651,ONE LAST KISS,1.0,
41652,≪注意事項≫,1.0,
41653,Act,1.0,
41654,永久恋愛 Raising Champ! & RED CHEERS!,1.0,
41655,CHERRYBOY FUNCTION,1.0,
41656,東京二枚舌,1.0,
41657,カズオの恐竜戦車,1.0,
41658,ライブとは,1.0,
41659,ミゾブチリョウジ,1.0,
41660,桃梨guest(伊藤孝喜,1.0,
41661,JUICY LEROLERO,1.0,
41662,大神クヒオ,1.0,
41663,山口ソウヘイ,1.0,
41664,First comes Rock,1.0,
41665,THE ララバイズ,1.0,
41666,OUTSIDE FANTASTIC IDEA,1.0,
41667,Mari Sakurai,1.0,
41668,ユラリ (ex,1.0,
41669,71719,1.0,
41670,ViV,1.0,
41671,cogolo,1.0,
41672,治山慎太��,1.0,
41673,NOISE A GOGO's,1.0,
41674,J ROCC,1.0,
41675,Mollmot Creature-S,1.0,
41676,kumiko ＆the black thunder,1.0,
41677,THROPUS,1.0,
41678,HELL SEA,1.0,
41679,悠実 from キリクと魔女,1.0,
41680,NO！SENSE,1.0,
41681,村松 拓 (Nothing's Carved In Stone）,1.0,
41682,陽香 ＆ The Super Traffic Jams,1.0,
41683,1way-clutch,1.0,
41684,Sour　［VJ］onnacodomo,1.0,
41685,ROYALcomfort,1.0,
41686,ジョリソン2,1.0,
41687,野崎万葉,1.0,
41688,Aiko Melolele,1.0,
41689,■DJ,1.0,
41690,Owls,1.0,
41691,オシャレに興味のある方やオリジナルTシャツが欲しい方,1.0,
41692,パラシュートセッションの産みの親であるF.I.B JOURNALと,1.0,
41693,サオリリス,1.0,
41694,記念すべき第1回目はメジャー経験のあるバンドから...,1.0,
41695,浜島美咲,1.0,
41696,TOOYOUNGS,1.0,
41697,DEE,1.0,
41698,★ Special Opening Act,1.0,
41699,LOS HERMANOS,1.0,
41700,Ubiquitous],1.0,
41701,Sammy 中村バンド,1.0,
41702,三浦孝太,1.0,
41703,plug in,1.0,
41704,74484,1.0,
41705,Camping trailer,1.0,
41706,hello grascow,1.0,
41707,Saiga Yasuyuki Drum Solo Performance,1.0,
41708,Spring my Emotion,1.0,
41709,71141,1.0,
41710,Phoenix and the Flower Girl,1.0,
41711,79354,1.0,
41712,ソムニウム,1.0,
41713,TK from 凛として時雨,1.0,
41714,野水いおり,1.0,
41715,St.Louis,1.0,
41716,Ball＆Chain,1.0,
41717,quilt,1.0,
41718,アルク･ケット･シー,1.0,
41719,coyote milk store,1.0,
41720,ムードサロン,1.0,
41721,House of Ｒock,1.0,
41722,はるのりつ,1.0,
